.\data\origin_data\4\1.jpg,0,1209,357,186,290
.\data\origin_data\4\2.jpg,0,1209,357,186,290
.\data\origin_data\4\3.jpg,0,1209,357,186,290
.\data\origin_data\4\4.jpg,0,1209,357,186,290
.\data\origin_data\4\5.jpg,0,1209,357,186,290
.\data\origin_data\4\6.jpg,0,1209,357,186,290
.\data\origin_data\4\7.jpg,0,1209,357,186,290
.\data\origin_data\4\8.jpg,0,1209,357,186,290
.\data\origin_data\4\9.jpg,0,1209,357,186,290
.\data\origin_data\4\10.jpg,0,1209,357,186,290
.\data\origin_data\4\11.jpg,0,1209,357,186,290
.\data\origin_data\4\12.jpg,0,1209,357,186,290
.\data\origin_data\4\13.jpg,0,1209,357,186,290
.\data\origin_data\4\14.jpg,0,1209,357,186,290
.\data\origin_data\4\15.jpg,0,1209,357,186,290
.\data\origin_data\4\16.jpg,0,1209,357,186,290
.\data\origin_data\4\17.jpg,0,1209,357,186,290
.\data\origin_data\4\18.jpg,0,1209,357,186,290
.\data\origin_data\4\19.jpg,0,1209,357,186,290
.\data\origin_data\4\20.jpg,1,1209,357,186,290
.\data\origin_data\4\21.jpg,1,1209,357,186,290
.\data\origin_data\4\22.jpg,1,1209,357,186,290
.\data\origin_data\4\23.jpg,1,1209,357,186,290
.\data\origin_data\4\24.jpg,1,1209,357,186,290
.\data\origin_data\4\25.jpg,1,1209,357,186,290
.\data\origin_data\4\26.jpg,1,1209,357,186,290
.\data\origin_data\4\27.jpg,1,1209,357,186,290
.\data\origin_data\4\28.jpg,1,1209,357,186,290
.\data\origin_data\4\29.jpg,1,1209,357,186,290
.\data\origin_data\4\30.jpg,1,1209,357,186,290
.\data\origin_data\4\31.jpg,1,1209,357,186,290
.\data\origin_data\4\32.jpg,1,1209,357,186,290
.\data\origin_data\4\33.jpg,1,1209,357,186,290
.\data\origin_data\4\34.jpg,1,1209,357,186,290
.\data\origin_data\4\35.jpg,1,1209,357,186,290
.\data\origin_data\4\36.jpg,1,1209,357,186,290
.\data\origin_data\4\37.jpg,1,1209,357,186,290
.\data\origin_data\4\38.jpg,1,1209,357,186,290
.\data\origin_data\4\39.jpg,1,1209,357,186,290
.\data\origin_data\4\40.jpg,1,1209,357,186,290
.\data\origin_data\4\41.jpg,1,1209,357,186,290
.\data\origin_data\4\42.jpg,1,1209,357,186,290
.\data\origin_data\4\43.jpg,1,1209,357,186,290
.\data\origin_data\4\44.jpg,1,1209,357,186,290
.\data\origin_data\4\45.jpg,1,1209,357,186,290
.\data\origin_data\4\46.jpg,1,1209,357,186,290
.\data\origin_data\4\47.jpg,1,1209,357,186,290
.\data\origin_data\4\48.jpg,1,1209,357,186,290
.\data\origin_data\4\49.jpg,1,1209,357,186,290
.\data\origin_data\4\50.jpg,1,1209,357,186,290
.\data\origin_data\4\51.jpg,1,1209,357,186,290
.\data\origin_data\4\52.jpg,1,1209,357,186,290
.\data\origin_data\4\53.jpg,1,1209,357,186,290
.\data\origin_data\4\54.jpg,1,1209,357,186,290
.\data\origin_data\4\55.jpg,1,1209,357,186,290
.\data\origin_data\4\56.jpg,1,1209,357,186,290
.\data\origin_data\4\57.jpg,1,1209,357,186,290
.\data\origin_data\4\58.jpg,1,1209,357,186,290
.\data\origin_data\4\59.jpg,1,1209,357,186,290
.\data\origin_data\4\60.jpg,1,1209,357,186,290
.\data\origin_data\4\61.jpg,1,1209,357,186,290
.\data\origin_data\4\62.jpg,1,1209,357,186,290
.\data\origin_data\4\63.jpg,1,1209,357,186,290
.\data\origin_data\4\64.jpg,1,1209,357,186,290
.\data\origin_data\4\65.jpg,1,1209,357,186,290
.\data\origin_data\4\66.jpg,1,1209,357,186,290
.\data\origin_data\4\67.jpg,1,1209,357,186,290
.\data\origin_data\4\68.jpg,1,1209,357,186,290
.\data\origin_data\4\69.jpg,1,1209,357,186,290
.\data\origin_data\4\70.jpg,1,1209,357,186,290
.\data\origin_data\4\71.jpg,1,1209,357,186,290
.\data\origin_data\4\72.jpg,1,1209,357,186,290
.\data\origin_data\4\73.jpg,1,1209,357,186,290
.\data\origin_data\4\74.jpg,1,1209,357,186,290
.\data\origin_data\4\75.jpg,1,1209,357,186,290
.\data\origin_data\4\76.jpg,1,1209,357,186,290
.\data\origin_data\4\77.jpg,1,1209,357,186,290
.\data\origin_data\4\78.jpg,1,1209,357,186,290
.\data\origin_data\4\79.jpg,1,1209,357,186,290
.\data\origin_data\4\80.jpg,1,1209,357,186,290
.\data\origin_data\4\81.jpg,1,1209,357,186,290
.\data\origin_data\4\82.jpg,1,1209,357,186,290
.\data\origin_data\4\83.jpg,1,1209,357,186,290
.\data\origin_data\4\84.jpg,1,1209,357,186,290
.\data\origin_data\4\85.jpg,1,1209,357,186,290
.\data\origin_data\4\86.jpg,1,1209,357,186,290
.\data\origin_data\4\87.jpg,1,1209,357,186,290
.\data\origin_data\4\88.jpg,1,1209,357,186,290
.\data\origin_data\4\89.jpg,1,1209,357,186,290
.\data\origin_data\4\90.jpg,1,1209,357,186,290
.\data\origin_data\4\91.jpg,1,1209,357,186,290
.\data\origin_data\4\92.jpg,1,1209,357,186,290
.\data\origin_data\4\93.jpg,1,1209,357,186,290
.\data\origin_data\4\94.jpg,1,1209,357,186,290
.\data\origin_data\4\95.jpg,1,1209,357,186,290
.\data\origin_data\4\96.jpg,1,1209,357,186,290
.\data\origin_data\4\97.jpg,1,1209,357,186,290
.\data\origin_data\4\98.jpg,1,1209,357,186,290
.\data\origin_data\4\99.jpg,1,1209,357,186,290
.\data\origin_data\4\100.jpg,1,1209,357,186,290
.\data\origin_data\4\101.jpg,1,1209,357,186,290
.\data\origin_data\4\102.jpg,1,1209,357,186,290
.\data\origin_data\4\103.jpg,1,1209,357,186,290
.\data\origin_data\4\104.jpg,1,1209,357,186,290
.\data\origin_data\4\105.jpg,1,1209,357,186,290
.\data\origin_data\4\106.jpg,1,1209,357,186,290
.\data\origin_data\4\107.jpg,1,1209,357,186,290
.\data\origin_data\4\108.jpg,1,1209,357,186,290
.\data\origin_data\4\109.jpg,1,1209,357,186,290
.\data\origin_data\4\110.jpg,1,1209,357,186,290
.\data\origin_data\4\111.jpg,1,1209,357,186,290
.\data\origin_data\4\112.jpg,1,1209,357,186,290
